name,count
rock,10147
electronic,5147
pop,4174
alternative rock,1713
pop rock,1629
jazz,1584
experimental,1269
indie rock,1269
hip hop,1225
punk,1184
ambient,1004
folk rock,921
downtempo,837
electro,828
black metal,816
synth-pop,801
ballad,777
death metal,722
reggae,700
heavy metal,676
classical,670
pop/rock,647
folk,628
industrial,600
rock and roll,585
blues,550
psychedelic rock,514
metal,507
easy listening,504
techno,503
hard rock,501
noise,454
soul,393
new wave,375
leftfield,375
country rock,375
idm,350
blues rock,350
dub,340
ska,321
latin,300
contemporary jazz,279
stoner rock,275
trance,275
minimal,272
breakbeat,263
hip-hop,257
art rock,255
avant-garde,252
dark ambient,251
